	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K03789	36070	55046	5042	5199	6403	519	7077	3653	20487	2319	33615	845	6728	2007	3252	1982	861	2200	173	5007	3137	2431	8516	394	568	23114	5530	15677
K03790	469	1519	119	15	243	28	72	12	289	55	952	64	660	32	9	9	4	12	196	12	16	14	180	837	2	355	94	579
K03795	1	6	1	6	0	79	2	34	41	1237	1	18	0	222	307	23	0	25	1	2	262	155	0	0	5	0	27	0
K03797	1416	28	1626	3941	2420	3855	1185	3791	869	4569	58	1599	11	3440	2073	2255	1202	4771	124	3073	3206	1430	1641	22	1136	73	1210	22
K03798	8686	19146	15766	20001	21001	4162	7744	14873	8869	13002	8430	12323	6512	10492	10849	9271	2491	12180	1002	10974	17380	8601	16337	9642	9988	9214	7511	13311
K03799	130	14	27	2173	7	947	6	1426	2143	1063	6	1174	9	1079	2528	722	1745	1212	25	2016	3182	1982	230	5	737	2	756	3
K03800	10	26	8	23	168	4545	7	318	44	4146	14	737	6	4363	587	641	5	343	120	386	1913	783	12	27	54	22	1273	50
K03801	0	1	1	0	0	40	0	0	0	2	0	20	0	1	2	1	0	1	0	1	1	1	2	0	2	1	1	1
K03804	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
K03805	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0
K03807	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03808	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K03809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K03810	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	593	1	1	1	5	2	11	1	5	1
K03811	1	4	1	25	2	130	2	48	11	380	1	661	4	31	110	234	2	575	45	83	700	554	14	2	354	1	290	1
K03814	4	5	2	20	1	137	7	143	28	451	3	1088	4	60	376	378	1	714	91	83	1530	554	3	2	283	3	100	2
K03816	345	6018	523	1569	1080	428	254	2383	2010	1663	149	1918	1774	1866	1421	1187	688	9919	88	5036	4318	1858	494	172	1579	413	773	472
K03817	6184	703	8	7	237	4	266	7	4525	6	2347	6	353	4	5	8	3	3	4	3	5	3	12	67	2	59	11	64
K03818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K03820	0	1	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
K03821	0	7	1	0	0	33	1	2	25	28	0	45	0	111	4	0	1	0	0	0	4	13	0	0	4	0	10	0
K03823	4	1	4	36	1	17	1	15	10	24	1	33	1	20	11	9	20	12	77	17	37	24	40	1	10	1	12	1
K03830	654	1	1	1	20	2	68	1	807	1	0	1	1	1	1	1	0	2	0	1	1	2	1	2	1	1	1	1
K03831	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
K03832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K03833	0	2	20	87	18	107	1	316	2	136	0	66	1	58	3	79	349	312	1	131	498	217	2	0	0	0	0	0
K03834	0	12	0	0	0	0	0	0	1	0	5	0	3	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0
K03837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K03838	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K03839	101	226	117	465	94	31616	137	7541	812	29513	103	124602	110	17493	45277	26961	88	51929	1608	3187	75001	53796	610	94	32669	26	3462	11
K03840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
K03841	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1
K03855	1	1	1	1	4	23	1	1	1	1	3	1	1	1	1	1	1	7	1	1	1	7	13	1	4	1	1	1
K03856	4	4	7	90	3	188	3	254	52	267	3	635	4	111	334	216	356	299	27	472	1086	371	40	3	292	3	109	2
K03857	0	0	0	0	1	12	0	0	9	33	0	34	0	47	0	1	1	2	0	0	2	8	0	0	0	0	2	0
K03885	15	1294	70	63	389	13	12	413	54	592	358	2427	906	16	572	913	12	1515	166	284	6249	1770	383	33	1610	1430	759	1546
K03889	0	0	0	0	0	0	0	16	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K03890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K03892	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0
